Object Full Name,Diameter (km),Albedo,Rotation Period (hrs),Absolute Magnitude Parameter,Epoch of Oscillation in Julian Day Form,Eccentricity,Semi-Major Axis (au),Perihelion Distance (au),Inclination (degrees),Longitude of Ascending Node (deg),Argument of Perihelion (deg),Mean Anomaly (deg),Aphelion distance (au),Mean motion (deg/day),Earth Minimum Orbit Intersection Distance (au),Potentially Hazardous Asteroid
163249 (2002 GT),,,3.7663,18.71,2459800.5,0.3349,1.344,0.894,6.97,201.74,135.14,274.05,1.79,0.6322,0.0155,1
163348 (2002 NN4),0.735,0.03,14.5,20.08,2459800.5,0.4345,0.8759,0.495,5.42,259.44,222.21,325.76,1.26,1.202,0.00685,1
163364 (2002 OD20),,,2.42,18.91,2459800.5,0.3691,1.365,0.861,4.19,259.87,275.32,309.78,1.87,0.618,0.0262,1
163373 (2002 PZ39),,,148.7,19.03,2459800.5,0.5463,1.469,0.667,1.67,328.89,259.99,113.3,2.27,0.5534,0.00265,1
163683 (2002 YP2),,,,19.14,2459800.5,0.6883,1.577,0.492,20.63,52.46,281.41,353.42,2.66,0.4977,0.0202,1
163697 (2003 EF54),,,,20.08,2459800.5,0.4728,1.609,0.848,2.95,268.48,353.73,150.15,2.37,0.483,0.042,1
163818 (2003 RX7),0.386,0.516,5.649,18.49,2459800.5,0.3544,1.229,0.793,10.39,241.03,245.89,210.13,1.66,0.7233,0.026,1
163899 (2003 SD220),0.791,0.34,285,17.65,2459800.5,0.2099,0.8276,0.654,8.54,273.74,326.94,161.21,1,1.309,0.0168,1
164121 (2003 YT1),1.717,0.198,2.343,16.35,2459800.5,0.2919,1.11,0.786,44.06,38.32,91.05,280.59,1.43,0.8432,0.00309,1
164202 (2004 EW),,,11.1,20.91,2459800.5,0.279,0.9879,0.712,4.67,342.91,56.18,356.86,1.26,1.004,0.024,1
164207 (2004 GU9),0.163,0.219,,21.23,2459800.5,0.136,1.001,0.865,13.65,38.47,279.67,356.39,1.14,0.9836,0.000456,1
164211 (2004 JA27),,,,19.5,2459800.5,0.4234,1.666,0.961,2.26,67.77,270.22,122.37,2.37,0.4582,0.0327,1
164216 (2004 OT11),,,,17.3,2459800.5,0.5648,2.152,0.936,19.94,295.1,326.32,277.67,3.37,0.3122,0.0164,1
164400 (2005 GN59),,,38.69,17.38,2459800.5,0.4678,1.657,0.882,6.63,218.96,203.02,159.93,2.43,0.4622,0.0494,1
168318 (1989 DA),0.9,,3.925,18.98,2459800.5,0.5427,2.162,0.989,6.5,349.13,139.81,195.11,3.34,0.3099,0.0448,1
170086 (2002 XR14),,,,18.24,2459800.5,0.6253,1.907,0.714,2.13,75.61,120.21,130.03,3.1,0.3743,0.0111,1
170903 (2004 WS2),,,,18.19,2459800.5,0.6031,1.336,0.53,8.26,87.73,115.37,117.57,2.14,0.6379,0.0301,1
171576 (1999 VP11),,,2.796,18.73,2459800.5,0.5835,1.086,0.452,17.28,208.09,61.74,134.32,1.72,0.8712,0.00195,1
171839 (2001 JM1),,,5.7516,19.24,2459800.5,0.3111,1.461,1.006,17.07,226.66,321.91,32.33,1.92,0.5582,0.0465,1
172678 (2003 YM137),,,,18.95,2459800.5,0.6925,2.592,0.797,2.71,76.55,127.63,137.95,4.39,0.2362,0.00781,1
173561 (2000 YV137),,,2.722,18.36,2459800.5,0.311,1.448,0.998,28,137.23,211.37,237.78,1.9,0.5656,0.0192,1
175706 (1996 FG3),1.196,0.072,3.5942,18.44,2459800.5,0.3497,1.054,0.685,1.99,299.5,24.2,24.55,1.42,0.9107,0.0283,1
175729 (1998 BB10),,,,20.45,2459800.5,0.4247,1.272,0.732,11.54,124.29,259.2,90.72,1.81,0.6873,0.0231,1
177049 (2003 EE16),,,,19.83,2459800.5,0.6143,1.417,0.547,0.65,127.17,259.56,258.04,2.29,0.584,0.000131,1
177614 (2004 HK33),,,,17.7,2459800.5,0.5206,1.888,0.905,5.44,104.78,221.47,350.6,2.87,0.3798,0.009,1
179806 (2002 TD66),,,9.455,20.46,2459800.5,0.5346,1.858,0.865,4.93,335.56,125.84,269.13,2.85,0.3892,0.00593,1
180186 (2003 QZ30),,,,17.6,2459800.5,0.6314,2.421,0.892,8.57,178.06,243.05,349.61,3.95,0.2616,0.0455,1
184266 (2004 VW14),,,2.5009,19.49,2459800.5,0.5981,2.122,0.853,3.83,100.93,42.67,245.13,3.39,0.3188,0.00768,1
185851 (2000 DP107),0.863,0.137,2.7754,18.33,2459800.5,0.3765,1.365,0.851,8.67,358.67,289.78,287.83,1.88,0.6178,0.015,1
186844 (2004 GA1),,,,17.59,2459800.5,0.6725,2.432,0.797,7.77,261.5,54.66,266.85,4.07,0.2599,0.0173,1
187040 (2005 JS108),0.43,0.199,,19.23,2459800.5,0.3225,1.356,0.919,6.04,110.86,243.9,249.22,1.79,0.624,0.0191,1
189040 (2000 MU1),,,,19.88,2459800.5,0.3826,1.372,0.847,13.09,130.07,63.7,314.38,1.9,0.6131,0.0108,1
189865 (2003 NC),,,,19.43,2459800.5,0.8056,1.406,0.273,21.58,288.45,224.29,202.19,2.54,0.5913,0.0379,1
192559 (1998 VO),,,,20.43,2459800.5,0.2265,1.075,0.831,10.06,228.13,75.97,194.43,1.32,0.8846,0.0261,1
192563 (1998 WZ6),,,,17.25,2459800.5,0.408,1.452,0.86,24.75,68.71,110.7,135.67,2.04,0.5632,0.0351,1
192642 (1999 RD32),,,17.08,16.48,2459800.5,0.7695,2.642,0.609,6.8,309.96,299.98,141.6,4.68,0.2294,0.0498,1
194006 (2001 SG10),,,,20.5,2459800.5,0.4243,1.449,0.834,4.26,184.94,101.63,22.64,2.06,0.5652,0.0173,1
194268 (2001 UY4),1.244,0.055,6.802,18.44,2459800.5,0.7873,1.453,0.309,5.44,160.74,107.77,344.08,2.6,0.5628,0.0259,1
196068 (2002 TW55),,,,18.13,2459800.5,0.6646,2.117,0.71,59.37,33.56,251.13,189.35,3.52,0.32,0.0275,1
196625 (2003 RM10),,,,20.29,2459800.5,0.5914,1.847,0.755,13.73,341.32,287.28,213.03,2.94,0.3926,0.00573,1
197588 (2004 HE12),,,,17.23,2459800.5,0.4663,1.845,0.985,42.73,338.04,162.23,114.88,2.71,0.3933,0.0108,1
199003 (2005 WJ56),,,4.379,18.16,2459800.5,0.1521,0.9591,0.813,21.61,288.04,297.66,87.59,1.1,1.049,0.0242,1
199145 (2005 YY128),,,,18.36,2459800.5,0.7314,1.65,0.443,3.77,300.32,314.77,249.43,2.86,0.4652,0.0295,1
199801 (2007 AE12),,,,19.36,2459800.5,0.5695,1.685,0.725,2.28,245.47,86.96,127.79,2.64,0.4508,0.0065,1
200840 (2001 XN254),,,,17.81,2459800.5,0.5606,2.322,1.02,1.94,264.09,278.7,269.24,3.62,0.2786,0.0411,1
202683 (2006 US216),,,,19.78,2459800.5,0.5623,0.6371,0.279,3.44,193.27,56.41,146.82,1,1.938,0.0439,1
205744 (2002 BK25),,,,18.27,2459800.5,0.7473,2.299,0.581,11.94,156.13,103.95,297.21,4.02,0.2828,0.046,1
206378 (2003 RB),0.376,0.414,37.5,18.76,2459800.5,0.4392,1.788,1.003,6.72,317.14,44.05,317.24,2.57,0.4123,0.0443,1
