Object Full Name,Diameter (km),Albedo,Rotation Period (hrs),Absolute Magnitude Parameter,Epoch of Oscillation in Julian Day Form,Eccentricity,Semi-Major Axis (au),Perihelion Distance (au),Inclination (degrees),Longitude of Ascending Node (deg),Argument of Perihelion (deg),Mean Anomaly (deg),Aphelion distance (au),Mean motion (deg/day),Earth Minimum Orbit Intersection Distance (au),Potentially Hazardous Asteroid
       (2008 SW1),,,,21.9,2459800.5,0.534,2.483,1.157,16.29,189.36,185.31,196.5,3.81,0.252,0.158,0
       (2008 SZ1),,,,24.6,2459800.5,0.5253,2.183,1.036,4.63,183.23,173.18,109.31,3.33,0.3055,0.0336,0
       (2008 SP7),,,,18.9,2459800.5,0.5332,2.739,1.279,9.96,34.83,338.75,19.88,4.2,0.2174,0.288,0
       (2008 ST7),,,,24.1,2459800.5,0.5135,1.935,0.941,2.45,347.79,321.82,71.46,2.93,0.3662,0.00151,0
       (2008 SV7),,,,21.7,2459800.5,0.3314,1.625,1.087,4.42,230.97,165.66,236.11,2.16,0.4756,0.0966,0
       (2008 SW7),,,,24.3,2454733.5,0.3519,1.616,1.047,17.51,178.7,186.74,357.67,2.18,0.4799,0.0451,0
       (2008 SF8),,,,23.7,2459800.5,0.6055,2.769,1.092,5.96,356.94,0.53,358.21,4.45,0.2139,0.0883,0
       (2008 SV11),,,32.4,18.36,2459800.5,0.7257,2.61,0.716,8.34,14.83,103.77,65.49,4.5,0.2338,0.0131,1
       (2008 SH82),,,,21.4,2459800.5,0.5954,2.435,0.985,4.63,268.58,158.15,210.16,3.89,0.2594,0.0168,1
       (2008 SJ82),,,,20.58,2459800.5,0.5778,2.379,1.005,9.69,135.15,218.37,284.27,3.75,0.2686,0.0485,1
       (2008 SC85),,,,19.4,2459800.5,0.5264,2.414,1.143,6.31,256.09,168.13,222.67,3.69,0.2627,0.16,0
       (2008 SD85),,,,22.9,2459800.5,0.4073,0.8828,0.523,23.37,2.51,209.14,17.85,1.24,1.188,0.101,0
       (2008 SG148),,,,22.6,2454740.5,0.2019,1.346,1.074,27.2,7.47,16.01,351.65,1.62,0.6315,0.0794,0
       (2008 SH148),,,,26.1,2454738.5,0.6509,2.714,0.948,3.62,202.3,200.66,353.61,4.48,0.2204,0.00946,0
       (2008 SJ148),,,,24.3,2454742.5,0.3845,1.209,0.744,2.63,202.67,72.87,53.21,1.67,0.7411,0.00996,0
       (2008 SX148),,,,23.7,2459800.5,0.2996,1.118,0.783,14.47,354.62,252.35,343.87,1.45,0.8334,0.0402,0
       (2008 SY148),,,,21.8,2454741.5,0.1932,1.25,1.008,28.76,187.29,164.32,13.42,1.49,0.7052,0.0131,1
       (2008 SU150),,,,22.8,2454749.5,0.3943,1.982,1.201,2.48,262.75,93.67,5.08,2.76,0.3531,0.201,0
       (2008 SV150),,,,26.3,2454739.5,0.0896,1.154,1.051,22.49,4.01,344.92,15.08,1.26,0.7947,0.0513,0
       (2008 SY150),,,,24.7,2459800.5,0.3286,1.385,0.93,6.97,192.89,120.85,207.65,1.84,0.6047,0.0256,0
       (2008 SZ150),,,,23.8,2459800.5,0.3302,1.408,0.943,13.07,188.53,128.93,131.37,1.87,0.5897,0.0275,0
       (2008 TA),,,,24.05,2459800.5,0.6475,1.38,0.486,1.52,354.49,259.24,228.91,2.27,0.6079,0.00336,0
       (2008 TB),,,,25.4,2454740.5,0.6045,2.477,0.98,27.41,188.08,209.1,353.9,3.98,0.2527,0.0257,0
